school_name,dept_name,city,state,zip,distance_to_upenn,highest_degree_offered,is_private
Lebanon Valley College,Mathematical Sciences,Annville,PA,17003,88.3,Baccalaureate,1
Penn State University Schuykill,Mathematics,Schuylkill Haven,PA,17972,91.6,Baccalaureate,0
Elizabethtown College,Mathematical Sciences,Elizabethtown,PA,17022,93.7,Baccalaureate,1
Penn State University York,Mathematics,York,PA,17403,95.5,Baccalaureate,0
East Stroudsburg University,Mathematics,East Stroudsburg,PA,18301,101,Baccalaureate,0
Penn State University Harrisburg,Mathematical Sciences and Computer Science,Middletown,PA,17057,103,Doctoral,0
Penn State University Hazleton,Mathematics,Hazleton,PA,18201,103,Baccalaureate,0
York College,Physical Sciences,York,PA,17405,103,Baccalaureate,1
Harrisburg Area Community College,"Mathenatics, Science, and Allied Health",Harrisburg,PA,17110,109,Associate,0
King's College,Mathematics and Computer Science,Wilkes-Barre,PA,18711,112,Baccalaureate,1
Messiah College,Mathematical Sciences,Mechanicsburg,PA,17055,113,Baccalaureate,1
Wilkes University,Mathematics and Computer Science,Wilkes-Barre,PA,18766,113,Doctoral,1
Misericordia University,Mathematics,Dallas,PA,18612,119,Baccalaureate,1
Luzerne County Community College,Mathematics and Computer Science,Nanticoke,PA,18634,120,Associate,0
Penn State University Wilkes-Barre,Mathematics,Lehman,PA,18627,121,Baccalaureate,0
Dickinson College,Mathematics and Computer Science,Carlisle,PA,17013,123,Baccalaureate,1
Lackawanna College,Mathematics,Scranton,PA,18505,124,Associate,1
University of Scranton,Mathematics,Scranton,PA,18510,124,Baccalaureate,1
Marywood University,Mathematics and Computer Science,Scranton,PA,18509,127,Baccalaureate,1
Penn State University Scranton,Mathematics,Dunmore,PA,18512,127,Baccalaureate,0
Bloomsburg University,Mathematical and Digital Sciences,Bloomsburg,PA,17815,136,Baccalaureate,0
Keystone College,Biological and Physical Science and Mathematics,La Plume,PA,18440,138,Baccalaureate,1
Gettysburg College,Mathematics and Computer Science,Gettysburg,PA,17325,139,Baccalaureate,1
Shippensburg University,Mathematics,Shippensburg,PA,17257,146,Masters,0
Susquehanna University,Mathematical Sciences,Selinsgrove,PA,17870,153,Baccalaureate,1
Wilson College,Physical and Life Sciences,Chambersburg,PA,17201,157,Baccalaureate,1
Penn State University Mont Alto,Mathematics,Mont Alto,PA,17237,163,Baccalaureate,0
Bucknell University,Mathematics,Lewisburg,PA,17837,168,Doctoral,1
Lycoming College,Mathematical Sciences,Williamsport,PA,17701,177,Baccalaureate,1
Pennsylvania College of Technology,Mathematics,Williamsport,PA,17701,178,Baccalaureate,0
Lock Haven University,Mathematics,Lock Haven,PA,17745,201,Baccalaureate,0
Mansfield University,Mathematics and Computer and Information Science,Mansfield,PA,16933,225,Baccalaureate,0
